email_ID,a$ap forever,produk 29,roygbiv,semena mertvykh,ballad of a thin man,holding out for a hero,badlands,our last summer,get lucky,really love,jolene,nice for what,sacrifices,the last resort,gimme hope jo'anna,on & on,ecstasy,water no get enemy,careless whisper,i will survive,upside down,bad romance,the scoop on heaven,sonnerie de ste. genevieve du mont de paris,the urban theme,billie jean,chicago,champion requiem,ex-factor,i gotta find peace of mind,have a cigar,the blues it began in africa,my little town,little wing,prepare,the adults are talking,santeria,posthumous forgiveness,my eyes,popular,i feel it coming,ligiero,dont stop the rock,Father and Son,miami-will smith,Danza kuduro,Fancy Clown,New slang,Elephant,lig,ojalá ,Walkin Naked Through A Blue Bell Field,One of my Turns,Beyond,The Miracle (Of Joey Ramone),100 Racks,Pharaoh's Dance,Blinded by The Light
aahitov24,4,2,2.5,1,3.5,4.5,2.9,3.5,4.5,3,4.25,4,5,3,3.5,3.5,4.5,3,5,4,4,5,5,3.75,4,4.5,5,3,3.25,3.5,2.5,3.25,3.25,1,1,5,5,5,3.5,3.5,4,,,,,,,,,,,,,,,,,
bmayer24,4.1,5,5,5,2,4.45,2,3,4.35,4.9,3,4.1,3.5,2.5,4.5,5,4.75,4.35,2.5,4,4.15,3.5,2.9,,4.3,,3.9,,,,,,,,5,4,,,,,,,,,,,,,,,,,,,,,,
jmerritt25,3.5,2,2.5,1,5,4.5,5,5,5,2,5,4,2.5,5,5,2,3.8,3.7,4.5,4,4,4.8,3.3,4,3.7,,3.5,,,,5,,,,,3,,,3,,,3.8,2,5,3.3,4,,3.7,3,,5,,,,,2.3,3,5
abuck25,5,2.5,3.3,0.1,3.5,5,3,4,5,3.8,4.7,5,3.4,3.5,5,3,4.2,3.6,3.5,5,3.7,4.5,4,2,4,5,4.2,3.8,3.4,2.9,3,4,,2,,3,4,3,4,2,5,3,5,2,5,5,,,,,3,,,,,5,5,
jhung25,4,2.4,3.6,1,3.7,4.5,2.3,3.7,4.432,3.9,5,4.6,3.5,3.2,4.3,3.9,5,3.2,3.8,4,5,4.4,4,3,4.32521,4.5,5,3.7,3.4,3.2,1.9,1.7,3.3,1,1.2,3.85,5,4.4,4.7,4.1,3.9,2.2,,5,4.1,,3,3.4,3.1,,2.3,2,,4,,1.9,2.3,
rspell,2.9,3.5,4,1,5,2,2.9,3.8,5,5,5,4.7,4,3.8,4.3,5,5,5,5,5,5,4,3,5,,,5,,,,,,,,,3.5,,,,,,5,2,5,4.5,,5,,,,4,5,,,,2,,5
bmilstein,,,,,,,,,,,,,3.7,2.8,3.3,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lahitov26,3.8,2.1,2.4,1,4,4.3,2.9,5,5,1.5,4,5,3.5,2.3,3.5,2.1,4,1.8,5,4,5,4.2,5,4,1,4,4.5,2,3.1,1.3,1,1.5,3.5,0.5,1,4,5,3.7,1,3,4.6,,,,,,,,,,,,,,,,,
lcohen,3,2,2,0.9,3,5,3.5,3,5,1,4,4.5,3.5,2,3.5,2,3.5,2,5,5,5,5,3.8,5,2.5,5,5,1,3,2,1,2,3,1,2,5,5,3.5,1,3,4.5,,,,,,,,,,,,,,,,,
destrada,4.5,2.2,4.1,0.3,2.4,3.1,,,4.2,,3.5,5,,,,4.3,,,4,4.4,,2.9,,,,4.5,5,,5,4.5,4.4,,,4,,,5,,,,,,,,,,,,,,,,,,,,,
kzanuck25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,